,LogSalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,Artery,Feedr,Norm,PosA,PosN,RRAe,RRAn,RRNe,RRNn,AsbShng,AsphShn,BrkCmn,BrkComm,BrkFace,CBlock,CemntBd,CmentBd,HdBoard,ImStucc,MetalSd,Other,Plywood,PreCast,Stone,Stucco,VinylSd,WdSdng,WdShing,WdShng,YearsSince1950Built,YearsSince1950Remod,YearsSince1950GarageBuilt
0,12.2783933071098,20,RL,141.0,31770.0,Pave,NoAccess,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,5,Hip,CompShg,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,Y,SBrkr,1656.0,0.0,0.0,1656.0,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,Fin,2,528.0,TA,TA,P,210.0,62.0,0.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,5,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10.0
1,11.56171562913966,20,RH,80.0,11622.0,Pave,NoAccess,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,Gable,CompShg,NaN,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,896.0,0.0,0.0,896.0,0,0,1,0,2,1,TA,5,Typ,0,NoFirePlace,Attchd,Unf,1,730.0,TA,TA,Y,140.0,0.0,0.0,0.0,120.0,0.0,NoPool,MnPrv,NaN,0.0,6,WD ,Normal,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,11,11.0
2,12.05524975579559,20,RL,81.0,14267.0,Pave,NoAccess,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,Hip,CompShg,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329.0,0.0,0.0,1329.0,0,0,1,1,3,1,Gd,6,Typ,0,NoFirePlace,Attchd,Unf,1,312.0,TA,TA,Y,393.0,36.0,0.0,0.0,0.0,0.0,NoPool,NoFence,Gar2,12500.0,6,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,8,8.0
3,12.404923504275338,20,RL,93.0,11160.0,Pave,NoAccess,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1Fam,1Story,7,5,Hip,CompShg,NaN,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,1065.0,Unf,0.0,1045.0,2110.0,GasA,Ex,Y,SBrkr,2110.0,0.0,0.0,2110.0,1,0,2,1,3,1,Ex,8,Typ,2,TA,Attchd,Fin,2,522.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,4,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18.0
4,12.154252896800378,60,RL,74.0,13830.0,Pave,NoAccess,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,5,5,Gable,CompShg,NaN,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,928.0,GasA,Gd,Y,SBrkr,928.0,701.0,0.0,1629.0,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,482.0,TA,TA,Y,212.0,34.0,0.0,0.0,0.0,0.0,NoPool,MnPrv,NaN,0.0,3,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,48,47.0
5,12.183315658407558,60,RL,78.0,9978.0,Pave,NoAccess,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,6,6,Gable,CompShg,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,926.0,GasA,Ex,Y,SBrkr,926.0,678.0,0.0,1604.0,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,Fin,2,470.0,TA,TA,Y,360.0,36.0,0.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,6,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,48,48.0
6,12.271392111650817,120,RL,41.0,4920.0,Pave,NoAccess,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,CompShg,NaN,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616.0,Unf,0.0,722.0,1338.0,GasA,Ex,Y,SBrkr,1338.0,0.0,0.0,1338.0,1,0,2,0,2,1,Gd,6,Typ,0,NoFirePlace,Attchd,Fin,2,582.0,TA,TA,Y,0.0,0.0,170.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,4,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51.0
7,12.162643087602838,120,RL,43.0,5005.0,Pave,NoAccess,IR1,HLS,AllPub,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,CompShg,NaN,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,1017.0,1280.0,GasA,Ex,Y,SBrkr,1280.0,0.0,0.0,1280.0,0,0,2,0,2,1,Gd,5,Typ,0,NoFirePlace,Attchd,RFn,2,506.0,TA,TA,Y,0.0,82.0,0.0,0.0,144.0,0.0,NoPool,NoFence,NaN,0.0,1,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,42,42.0
8,12.373703486914124,120,RL,39.0,5389.0,Pave,NoAccess,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,TwnhsE,1Story,8,5,Gable,CompShg,NaN,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0.0,415.0,1595.0,GasA,Ex,Y,SBrkr,1616.0,0.0,0.0,1616.0,1,0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,RFn,2,608.0,TA,TA,Y,237.0,152.0,0.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,3,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,46,45.0
9,12.14950229404178,60,RL,60.0,7500.0,Pave,NoAccess,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,7,5,Gable,CompShg,NaN,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,Gd,Y,SBrkr,1028.0,776.0,0.0,1804.0,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,442.0,TA,TA,Y,140.0,60.0,0.0,0.0,0.0,0.0,NoPool,NoFence,NaN,0.0,6,WD ,Normal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49,49,49.0
